"","i"
"1","sk__Eukaryota, k__Metazoa, p__Annelida, c__Clitellata, o__Haplotaxida, f__Tubificidae, g__Bothrioneurum, s__Bothrioneurum_vejdovskyanum"
"2","sk__Eukaryota, k__Metazoa, p__Annelida, c__Clitellata, o__Haplotaxida, f__Tubificidae, g__Chaetogaster, s__Chaetogaster_diaphanus"
"3","sk__Eukaryota, k__Metazoa, p__Annelida, c__Clitellata, o__Haplotaxida, f__Tubificidae, g__Limnodrilus, s__Limnodrilus_hoffmeisteri"
"4","sk__Eukaryota, k__Metazoa, p__Annelida, c__Clitellata, o__Haplotaxida, f__Tubificidae, g__Nais, s__Nais_barbata"
"5","sk__Eukaryota, k__Metazoa, p__Annelida, c__Clitellata, o__Haplotaxida, f__Tubificidae, g__Nais, s__Nais_christinae"
"6","sk__Eukaryota, k__Metazoa, p__Annelida, c__Clitellata, o__Haplotaxida, f__Tubificidae, g__Nais, s__Nais_elinguis"
"7","sk__Eukaryota, k__Metazoa, p__Annelida, c__Clitellata, o__Haplotaxida, f__Tubificidae, g__Ophidonais, s__Ophidonais_serpentina"
"8","sk__Eukaryota, k__Metazoa, p__Annelida, c__Clitellata, o__Haplotaxida, f__Tubificidae, g__Psammoryctides, s__Psammoryctides_barbatus"
"9","sk__Eukaryota, k__Metazoa, p__Annelida, c__Clitellata, o__Haplotaxida, f__Tubificidae, g__Stylaria, s__Stylaria_lacustris"
"10","sk__Eukaryota, k__Metazoa, p__Annelida, c__Clitellata, o__Haplotaxida, f__Tubificidae, g__Tubifex, s__Tubifex_tubifex"
"11","sk__Eukaryota, k__Metazoa, p__Annelida, c__Clitellata, o__Lumbriculida, f__Lumbriculidae, g__Lumbriculus, s__Lumbriculus_variegatus"
"12","sk__Eukaryota, k__Metazoa, p__Annelida, c__Clitellata, o__Rhynchobdellida, f__Glossiphoniidae, g__Helobdella, s__Helobdella_stagnalis"
"13","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Branchiopoda, o__Diplostraca, f__Bosminidae, g__Eubosmina, s__Eubosmina_coregoni"
"14","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Branchiopoda, o__Diplostraca, f__Daphniidae, g__Daphnia, s__Daphnia_ambigua"
"15","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Branchiopoda, o__Diplostraca, f__Polyphemidae, g__Polyphemus, s__Polyphemus_pediculus"
"16","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Branchiopoda, o__Diplostraca, f__Sididae, g__Diaphanosoma, s__Diaphanosoma_brachyurum"
"17","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Branchiopoda, o__Diplostraca, f__Sididae, g__Sida, s__Sida_crystallina"
"18","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Insecta, o__Coleoptera, f__Coccinellidae, g__Harmonia, s__Harmonia_axyridis"
"19","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Insecta, o__Ephemeroptera, f__Baetidae, g__Cloeon, s__Cloeon_dipterum"
"20","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Insecta, o__Ephemeroptera, f__Ephemeridae, g__Ephemera, s__Ephemera_danica"
"21","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Insecta, o__Hemiptera, f__Aphididae, g__Euceraphis, s__Euceraphis_betulae"
"22","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Insecta, o__Hymenoptera, f__Megachilidae, g__Osmia, s__Osmia_bicornis"
"23","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Insecta, o__Trichoptera, f__Molannidae, g__Molanna, s__Molanna_angustata"
"24","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Insecta, o__Trichoptera, f__Psychomyiidae, g__Lype, s__Lype_phaeopa"
"25","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Malacostraca, o__Amphipoda, f__Corophiidae, g__Corophium, s__Corophium_multisetosum"
"26","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Malacostraca, o__Amphipoda, f__Crangonyctidae, g__Crangonyx, s__Crangonyx_floridanus"
"27","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Malacostraca, o__Amphipoda, f__Crangonyctidae, g__Crangonyx, s__Crangonyx_pseudogracilis"
"28","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Malacostraca, o__Amphipoda, f__Gammaridae, g__Dikerogammarus, s__Dikerogammarus_villosus"
"29","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Malacostraca, o__Amphipoda, f__Gammaridae, g__Gammarus, s__Gammarus_tigrinus"
"30","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Malacostraca, o__Amphipoda, f__Gammaridae, g__Gammarus, s__Gammarus_zaddachi"
"31","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Malacostraca, o__Isopoda, f__Asellidae, g__Asellus, s__Asellus_aquaticus"
"32","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Maxillopoda, o__Calanoida, f__Temoridae, g__Eurytemora, s__Eurytemora_affinis"
"33","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Maxillopoda, o__Cyclopoida, f__Cyclopidae, g__Acanthocyclops, s__Acanthocyclops_robustus"
"34","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Maxillopoda, o__Cyclopoida, f__Cyclopidae, g__Eucyclops, s__Eucyclops_macrurus"
"35","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Maxillopoda, o__Cyclopoida, f__Cyclopidae, g__Eucyclops, s__Eucyclops_serrulatus"
"36","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Maxillopoda, o__Cyclopoida, f__Cyclopidae, g__Mesocyclops, s__Mesocyclops_leuckarti"
"37","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Ostracoda, o__Podocopida, f__Cyprididae, g__Cypridopsis, s__Cypridopsis_vidua"
"38","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Ostracoda, o__Podocopida, f__Limnocytheridae, g__Limnocythere, s__Limnocythere_inopinata"
"39","sk__Eukaryota, k__Metazoa, p__Mollusca, c__Bivalvia, o__Unionoida, f__Unionidae, g__Unio, s__Unio_pictorum"
"40","sk__Eukaryota, k__Metazoa, p__Mollusca, c__Bivalvia, o__Veneroida, f__Dreissenidae, g__Dreissena, s__Dreissena_polymorpha"
"41","sk__Eukaryota, k__Metazoa, p__Mollusca, c__Gastropoda, o__unknown, f__Hydrobiidae, g__Potamopyrgus, s__Potamopyrgus_antipodarum"
"42","sk__Eukaryota, k__Metazoa, p__Mollusca, c__Gastropoda, o__unknown, f__Lymnaeidae, g__Lymnaea, s__Lymnaea_stagnalis"
"43","sk__Eukaryota, k__Metazoa, p__Mollusca, c__Gastropoda, o__unknown, f__Lymnaeidae, g__Radix, s__Radix_auricularia"
"44","sk__Eukaryota, k__Metazoa, p__Mollusca, c__Gastropoda, o__unknown, f__Lymnaeidae, g__Radix, s__Radix_balthica"
"45","sk__Eukaryota, k__Metazoa, p__Mollusca, c__Gastropoda, o__unknown, f__Planorbidae, g__Gyraulus, s__Gyraulus_albus"
"46","sk__Eukaryota, k__Metazoa, p__Mollusca, c__Gastropoda, o__unknown, f__Lymnaeidae, g__Stagnicola"
"47","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Maxillopoda, o__Cyclopoida, f__Cyclopidae"
"48","sk__Eukaryota, k__Fungi, p__Ascomycota, c__Dothideomycetes, o__Pleosporales, f__Didymellaceae, g__Didymella, s__Didymella_pinodes"
"49","sk__Eukaryota, k__Fungi, p__Ascomycota, c__Eurotiomycetes, o__Eurotiales, f__Aspergillaceae, g__Penicillium, s__Penicillium_sclerotiorum"
"50","sk__Eukaryota, k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Hypocreales, f__Nectriaceae, g__Ilyonectria, s__Ilyonectria_destructans"
"51","sk__Eukaryota, k__Metazoa, p__Annelida, c__Clitellata, o__Haplotaxida, f__Enchytraeidae, g__Lumbricillus, s__Lumbricillus_fennicus"
"52","sk__Eukaryota, k__Metazoa, p__Annelida, c__Clitellata, o__Haplotaxida, f__Naididae, g__Chaetogaster, s__Chaetogaster_diastrophus"
"53","sk__Eukaryota, k__Metazoa, p__Annelida, c__Clitellata, o__Haplotaxida, f__Naididae, g__Nais, s__Nais_communis/variabilis_complex_sp._A3"
"54","sk__Eukaryota, k__Metazoa, p__Annelida, c__Clitellata, o__Haplotaxida, f__Naididae, g__Uncinais, s__Uncinais_uncinata"
"55","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Branchiopoda, o__Anostraca, f__Artemiidae, g__Artemia, s__Artemia_franciscana"
"56","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Branchiopoda, o__Diplostraca, f__Chydoridae, g__Chydorus, s__Chydorus_brevilabris"
"57","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Branchiopoda, o__Diplostraca, f__Daphniidae, g__Daphnia, s__Daphnia_longispina"
"58","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Branchiopoda, o__Diplostraca, f__Macrotrichidae, g__Macrothrix, s__Macrothrix_sp._HE-364"
"59","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Hexanauplia, o__Calanoida, f__Diaptomidae, g__Eudiaptomus, s__Eudiaptomus_gracilis"
"60","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Hexanauplia, o__Cyclopoida, f__Cyclopidae, g__Cyclops, s__Cyclops_abyssorum"
"61","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Insecta, o__Coleoptera, f__Chrysomelidae, g__Pyrrhalta, s__Pyrrhalta_viburni"
"62","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Insecta, o__Diptera, f__Chironomidae, g__Chironomus, s__Chironomus_luridus"
"63","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Insecta, o__Diptera, f__Chironomidae, g__Chironomus, s__Chironomus_nuditarsis"
"64","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Insecta, o__Diptera, f__Chironomidae, g__Chironomus, s__Chironomus_sp._BOLD:AAI4299"
"65","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Insecta, o__Diptera, f__Chironomidae, g__Cricotopus, s__Cricotopus_laricomalis"
"66","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Insecta, o__Diptera, f__Chironomidae, g__Endochironomus, s__Endochironomus_albipennis"
"67","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Insecta, o__Diptera, f__Chironomidae, g__Polypedilum, s__Polypedilum_nubeculosum"
"68","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Insecta, o__Diptera, f__Chironomidae, g__Polypedilum, s__Polypedilum_sp._9_SC"
"69","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Insecta, o__Diptera, f__Chironomidae, g__Procladius, s__Procladius_ferrugineus"
"70","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Insecta, o__Diptera, f__Chironomidae, g__Tanytarsus, s__Tanytarsus_bathophilus"
"71","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Insecta, o__Diptera, f__Chironomidae, g__Tanytarsus, s__Tanytarsus_lestagei"
"72","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Insecta, o__Diptera, f__Chironomidae, g__Tanytarsus, s__Tanytarsus_occultus"
"73","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Insecta, o__Lepidoptera, f__Notodontidae, g__Thaumetopoea, s__Thaumetopoea_processionea"
"74","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Malacostraca, o__Amphipoda, f__Crangonyctidae, g__Crangonyx, s__Crangonyx_floridanus"
"75","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Malacostraca, o__Amphipoda, f__Crangonyctidae, g__Crangonyx, s__Crangonyx_pseudogracilis"
"76","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Ostracoda, o__Podocopida, f__Cyprididae, g__Cyprideis, s__Cyprideis_torosa"
"77","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__unknown, o__unknown, f__unknown, g__unknown, s__Arthropoda_environmental_sample"
"78","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__unknown, o__unknown, f__unknown, g__unknown, s__Maxillopoda_sp._BOLD:ACW5478"
"79","sk__Eukaryota, k__Metazoa, p__Chordata, c__Actinopteri, o__Cypriniformes, f__Cyprinidae, g__Abramis, s__Abramis_brama"
"80","sk__Eukaryota, k__Metazoa, p__Chordata, c__Actinopteri, o__Cypriniformes, f__Cyprinidae, g__Pseudorasbora, s__Pseudorasbora_parva"
"81","sk__Eukaryota, k__Metazoa, p__Chordata, c__Actinopteri, o__Salmoniformes, f__Salmonidae, g__Oncorhynchus, s__Oncorhynchus_mykiss"
"82","sk__Eukaryota, k__Metazoa, p__Chordata, c__Mammalia, o__Primates, f__Hominidae, g__Homo, s__Homo_sapiens"
"83","sk__Eukaryota, k__Metazoa, p__Chordata, c__Mammalia, o__Rodentia, f__Muridae, g__Mus, s__Mus_musculus"
"84","sk__Eukaryota, k__Metazoa, p__Chordata, c__Mammalia, o__unknown, f__Suidae, g__Sus, s__Sus_scrofa"
"85","sk__Eukaryota, k__Metazoa, p__Cnidaria, c__Hydrozoa, o__Anthoathecata, f__Hydridae, g__Hydra, s__Hydra_oligactis"
"86","sk__Eukaryota, k__Metazoa, p__Cnidaria, c__Hydrozoa, o__Limnomedusae, f__Olindiidae, g__Craspedacusta, s__Craspedacusta_sowerbii"
"87","sk__Eukaryota, k__Metazoa, p__Gastrotricha, c__unknown, o__Chaetonotida, f__Chaetonotidae, g__Chaetonotus, s__Chaetonotus_sp._bor_MK-2018"
"88","sk__Eukaryota, k__Metazoa, p__Nematoda, c__Chromadorea, o__Plectida, f__Plectidae, g__Plectus, s__Plectus_aquatilis"
"89","sk__Eukaryota, k__Metazoa, p__Platyhelminthes, c__Catenulida, o__unknown, f__Stenostomidae, g__Stenostomum, s__Stenostomum_sthenum"
"90","sk__Eukaryota, k__Metazoa, p__Platyhelminthes, c__unknown, o__Tricladida, f__Dugesiidae, g__Schmidtea, s__Schmidtea_polychroa"
"91","sk__Eukaryota, k__Metazoa, p__Rotifera, c__Bdelloidea, o__Philodinida, f__Philodinidae, g__Dissotrocha, s__Dissotrocha_macrostyla"
"92","sk__Eukaryota, k__Metazoa, p__Rotifera, c__Bdelloidea, o__Philodinida, f__Philodinidae, g__Philodina, s__Philodina_citrina"
"93","sk__Eukaryota, k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Asplanchnidae, g__Asplanchna, s__Asplanchna_sieboldi"
"94","sk__Eukaryota, k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Brachionidae, g__Brachionus, s__Brachionus_angularis"
"95","sk__Eukaryota, k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Brachionidae, g__Brachionus, s__Brachionus_calyciflorus"
"96","sk__Eukaryota, k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Brachionidae, g__Euchlanis, s__Euchlanis_dilatata"
"97","sk__Eukaryota, k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Brachionidae, g__Kellicottia, s__Kellicottia_sp._BIOUG30062-G11"
"98","sk__Eukaryota, k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Brachionidae, g__Keratella, s__Keratella_cochlearis"
"99","sk__Eukaryota, k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Brachionidae, g__Keratella, s__Keratella_quadrata"
