"","Chrysomelidae","Crangonyx_floridanus","Crangonyx_pseudogracilis","Dikerogammarus_villosus","Euceraphis_betulae","Harmonia_axyridis","Homo_sapiens","Hymenoptera","Osmia_bicornis","Pyrrhalta_viburni"
"LAWN.may.Ha8",0,0,0,0,0,22815,0,0,0,0
"LAWN.may.Ha7",0,0,0,0,0,20794,0,0,0,0
"LAWN.may.Ha6",0,0,0,0,0,23719,0,0,0,0
"LAWN.may.Ha5",0,0,0,0,0,21223,0,0,0,0
"LAWN.may.Ha4",0,0,0,0,0,19395,0,0,0,0
"LAWN.may.Ha3",0,0,0,0,0,17554,0,0,0,0
"LAWN.may.Ha2",0,0,0,0,0,17434,0,0,0,0
"LAWN.may.Ha1",0,0,0,0,0,18312,0,0,0,0
"LAWN.may.Ha16",0,0,0,0,0,27597,0,0,0,0
"LAWN.may.Ha15",0,0,0,0,0,22416,0,0,0,0
"LAWN.may.Ha14",0,0,0,0,0,29001,0,0,0,0
"LAWN.may.Ha13",0,0,0,0,0,25266,0,0,0,0
"LAWN.may.Ha12",0,0,0,0,0,12427,0,0,0,0
"LAWN.may.Ha11",0,0,0,0,0,23419,0,0,0,0
"LAWN.may.Ha10",0,0,0,0,0,19197,0,0,0,0
"LAWN.may.Ha9",0,0,0,0,73,19323,0,0,0,0
"LAWN.may.Ha24",0,0,0,0,0,26664,0,0,0,0
"LAWN.may.Ha23",0,0,0,0,0,25156,0,0,0,0
"LAWN.may.Ha22",609,0,0,0,0,31155,0,0,0,0
"LAWN.may.Ha21",0,0,0,0,0,31647,0,0,0,85
"LAWN.may.Ha20",0,0,0,0,0,24126,0,0,0,0
"LAWN.may.Ha19",0,0,0,0,101,20161,0,0,0,0
"LAWN.may.Ha18",0,0,0,0,0,23735,0,0,0,0
"LAWN.may.Ha17",0,0,0,0,0,26996,0,0,0,0
"THWA.may.Ha6",0,0,0,0,0,27935,0,0,0,0
"THWA.may.Ha5",0,0,0,0,511,21751,0,0,0,0
"THWA.may.Ha4",0,0,0,0,0,32451,0,0,0,0
"THWA.may.Ha3",0,0,0,0,0,34619,0,0,0,0
"THWA.may.Ha2",0,0,0,0,0,29298,0,0,0,0
"THWA.may.Ha1",0,0,0,0,0,27586,0,0,0,0
"NEGATIVE",0,0,0,0,0,8098,0,0,0,0
"LAWN.may.Ha25",0,0,0,0,0,26662,0,0,0,0
"THWA.may.Ha14",0,0,0,0,26,23802,0,0,0,0
"THWA.may.Ha13",0,0,0,0,0,28738,0,0,0,0
"THWA.may.Ha12",0,0,0,0,48,26870,0,0,0,0
"THWA.may.Ha11",0,0,0,0,0,21751,0,0,0,0
"THWA.may.Ha10",0,0,0,0,0,21508,0,0,0,0
"THWA.may.Ha9",0,0,0,0,0,13257,0,0,0,0
"THWA.may.Ha8",0,0,0,0,0,14669,0,0,0,0
"THWA.may.Ha7",0,0,0,0,0,18711,0,0,0,0
"THWA.may.Ha22",0,0,0,0,30,26772,0,0,0,0
"THWA.may.Ha21",0,0,0,0,0,29263,0,0,0,0
"THWA.may.Ha20",0,0,0,0,70,35737,0,0,0,0
"THWA.may.Ha19",0,0,0,0,120,35067,0,0,0,0
"THWA.may.Ha18",0,0,0,0,0,34400,0,0,0,0
"THWA.may.Ha17",0,0,0,0,39,17279,0,0,0,0
"THWA.may.Ha16",0,0,0,0,372,28417,0,0,0,0
"THWA.may.Ha15",0,0,0,0,372,25429,0,0,0,0
"POSTITIVE",0,0,0,0,0,3901,0,29,2257,0
"THWA.may.Ha25",0,0,0,0,0,29609,0,0,0,0
"THWA.may.Ha24",0,0,0,0,0,18979,0,0,0,0
"THWA.may.Ha23",0,0,0,0,0,18042,0,0,0,0
