"","Chrysomelidae","Crangonyx_floridanus","Crangonyx_pseudogracilis","Dikerogammarus_villosus","Euceraphis_betulae","Harmonia_axyridis","Homo_sapiens","Hymenoptera","Osmia_bicornis","Pyrrhalta_viburni"
"LAWN.may.Ha8",0,8.76424189307625e-05,0,0,0,0.999780893952673,0,0,0,0.000131463628396144
"LAWN.may.Ha7",0,0,0,0,0,1,0,0,0,0
"LAWN.may.Ha6",0,0,0,0,0,1,0,0,0,0
"LAWN.may.Ha5",0,0,0,0,0,1,0,0,0,0
"LAWN.may.Ha4",0,0.000103108728153838,0,0,0,0.999896891271846,0,0,0,0
"LAWN.may.Ha3",0,0,0.000113921166552745,0,0,0.999886078833447,0,0,0,0
"LAWN.may.Ha2",0,0,0,0,0,1,0,0,0,0
"LAWN.may.Ha1",0,0,0,0,0,1,0,0,0,0
"LAWN.may.Ha16",0,0,0,0,0,1,0,0,0,0
"LAWN.may.Ha15",0,0,0,0,0,1,0,0,0,0
"LAWN.may.Ha14",0,0,0,0,0,1,0,0,0,0
"LAWN.may.Ha13",0,0,0,0,0,1,0,0,0,0
"LAWN.may.Ha12",0,0.000160913991471558,0,0,0,0.999839086008528,0,0,0,0
"LAWN.may.Ha11",0,0,0,0,0,1,0,0,0,0
"LAWN.may.Ha10",0,0,0,0,0,1,0,0,0,0
"LAWN.may.Ha9",0,0,0,0,0.0037636626108476,0.996236337389152,0,0,0,0
"LAWN.may.Ha24",0,0,0,0,7.50018750468762e-05,0.999924998124953,0,0,0,0
"LAWN.may.Ha23",0,0,0,0,0,1,0,0,0,0
"LAWN.may.Ha22",0.0191726482810729,0,0,0,0,0.980827351718927,0,0,0,0
"LAWN.may.Ha21",6.3023886052814e-05,0,0,0,0,0.997258460956703,0,0,0,0.0026785151572446
"LAWN.may.Ha20",0,0,0,0,0,1,0,0,0,0
"LAWN.may.Ha19",0,0,0,9.86971969996052e-05,0.00498420844848006,0.99491709435452,0,0,0,0
"LAWN.may.Ha18",0,0,0,0,0,1,0,0,0,0
"LAWN.may.Ha17",0,0,0,0,0,1,0,0,0,0
"THWA.may.Ha6",0,0,0,0,0,1,0,0,0,0
"THWA.may.Ha5",0,0,0,0,0.022953912496631,0.977046087503369,0,0,0,0
"THWA.may.Ha4",0,0,0,0,0.000184859968573805,0.999815140031426,0,0,0,0
"THWA.may.Ha3",0,0,0,0,0,1,0,0,0,0
"THWA.may.Ha2",0,0,0,0,0.000341203766889586,0.99965879623311,0,0,0,0
"THWA.may.Ha1",0,0,0,0,0,1,0,0,0,0
"NEGATIVE",0,0,0,0,0,1,0,0,0,0
"LAWN.may.Ha25",0,0,0,0,0.000150003750093752,0.999849996249906,0,0,0,0
"THWA.may.Ha14",0,0,0,0,0.00109115326506631,0.998908846734934,0,0,0,0
"THWA.may.Ha13",0,0,0,0,0,1,0,0,0,0
"THWA.may.Ha12",0,0,0,0,0.00178319340218441,0.998216806597816,0,0,0,0
"THWA.may.Ha11",0,0,0,0,0.000321720746392132,0.999678279253608,0,0,0,0
"THWA.may.Ha10",0,0,0,0,0,1,0,0,0,0
"THWA.may.Ha9",0,0,0,0,0,1,0,0,0,0
"THWA.may.Ha8",0,0,0,0,0.000613162556206568,0.999386837443793,0,0,0,0
"THWA.may.Ha7",0,0,0,0,0,1,0,0,0,0
"THWA.may.Ha22",0,0,0,0,0.00111923593493508,0.998806148336069,0,0,7.46157289956723e-05,0
"THWA.may.Ha21",0,0,0,0,0.000512330077191065,0.999487669922809,0,0,0,0
"THWA.may.Ha20",0,0,0,0,0.00195492501466194,0.998045074985338,0,0,0,0
"THWA.may.Ha19",0,0,0,0,0.00341035041350499,0.996589649586495,0,0,0,0
"THWA.may.Ha18",0,0,0,0,0,1,0,0,0,0
"THWA.may.Ha17",0,0,0,0,0.00225199214689918,0.997748007853101,0,0,0,0
"THWA.may.Ha16",0,0,0,0,0.0129216020007642,0.987078397999236,0,0,0,0
"THWA.may.Ha15",0,0,0,0,0.0144180458121778,0.985581954187822,0,0,0,0
"POSTITIVE",0,0,0,0,0,0.62990473114807,0.000968835782334894,0.00468270628128532,0.364443726788309,0
"THWA.may.Ha25",0,0,0,0,0,0.999864924188701,0,0,0.000135075811299092,0
"THWA.may.Ha24",0,0,0,0,0,0.999894631473579,0,0,0.000105368526421158,0
"THWA.may.Ha23",0,0,0,0,0,0.999722945641935,0,0,0.000277054358065052,0
